"","created_at","screen_name","text"
"4096",2019-08-20 10:45:48,"chocoxhipss","Inilah, judul, karakter, dan pemain film-film dalam JAGAT SINEMA BUMILANGIT JILID I. 
#BCU29Agustus 

Dimulai dari tahun ini dengan film GUNDALA. https://t.co/4pZGjYqcud"
"4097",2019-08-20 10:45:47,"RMSGRT","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4098",2019-08-20 10:45:44,"irvanmuda","@CenayangFilm @gotixindonesia Nonton Gundala di exexwan.
Kau adala, my number wan."
"4099",2019-08-20 10:45:28,"irvanmuda","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4100",2019-08-20 10:45:33,"pikaunch","@CenayangFilm @gotixindonesia ada bocah sedang bertanya
tanyanya tentang film GUNDALA
Indonesia udah maju perfilmnya
dengan cerita dan gambar yang istimewa #4kalimataja"
"4101",2019-08-20 10:45:38,"pikaunch","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4102",2019-08-20 10:45:35,"mogirlang","@CenayangFilm @gotixindonesia Gundala
Sudahla"
"4103",2019-08-20 10:45:30,"prayougee","Karena aku jomblo, aku mau giveway nonton Gundala bareng aku. syaratnya mudah hanya cukup retweet dan harus ganteng 
<U+0001F602> https://t.co/BhAAQarcnF"
"4104",2019-08-20 10:45:29,"bessonlarson","KACAMATA GUE ILANG OASHDUHDD MANA MAU NONTON IT SAMA GUNDALA BABI APA YANG GUE LIAT"
"4105",2019-08-20 10:45:19,"gabikinkembung","Ayo nonton gundala <U+0001F62D><U+0001F62D>"
"4106",2019-08-20 10:45:08,"fallidaf","@CenayangFilm @gotixindonesia Film Gundala terbit tanggal 29.
Sancaka sama wulan cantik kapan nih jadian?"
"4107",2019-08-20 10:44:23,"fallidaf","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4108",2019-08-20 10:45:08,"sepatots","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4109",2019-08-20 10:31:49,"sepatots","@CenayangFilm @gotixindonesia HARI MINGGU NONTON GUNDALA
AKU TANPAMU NAUZDUBILLA"
"4110",2019-08-20 10:39:41,"kharradhanty","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4111",2019-08-20 10:45:03,"kharradhanty","@CenayangFilm @gotixindonesia anak gembala minum teh sosro
nonton Gundala mau liat Tara Basro
<U+0001F619><U+0001F619><U+0001F619>"
"4112",2019-08-20 10:44:54,"raismuchammad","Tanggal dua sembilan Gundala tayang di Indonesia.
Tiket sudah ditangan tapi gatau nonton bareng siapa. https://t.co/sRcl7XN3Bp"
"4113",2019-08-20 10:44:36,"raismuchammad","@CenayangFilm @gotixindonesia Tanggal dua sembilan Gundala tayang di Indonesia.
Tiket sudah ditangan tapi gatau nonton bareng siapa."
"4114",2019-08-20 10:43:54,"tariaiueo","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4115",2019-08-20 10:44:50,"tariaiueo","@CenayangFilm @gotixindonesia Ada patung bentuknya gundala
Jangan nikung kalo ga mau kecewa"
"4116",2019-08-20 10:44:48,"sallynazila","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4117",2019-08-20 10:44:45,"Sopandy21","@raihanirieskadz Pengen gundala sama bumi manusia"
"4118",2019-08-20 10:44:02,"adha__","@CenayangFilm @gotixindonesia Kesamber listrik jadi gundala
Kamu cantik bikin sakit kepala"
"4119",2019-08-20 04:06:40,"adha__","Negeri ini butuh patriot
Kalo aku butuh
#jiwapatriot #gundala #Gundala29Agustus https://t.co/SmmPREnGLp"
"4120",2019-08-20 10:43:09,"adha__","@CenayangFilm @gotixindonesia Di Banda banyak pala
Muke lu kayak Gundala"
"4121",2019-08-20 10:44:30,"adha__","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4122",2019-08-20 06:04:53,"adha__","@Ridhocksitz @gundalaofficial @JanjiJiwaID skill 3 nya gundala bayu kumoro https://t.co/0ysJK3dvxj"
"4123",2019-08-20 10:44:04,"adastira","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4124",2019-08-20 10:44:29,"adastira","@CenayangFilm @gotixindonesia Gundala si putra petir
Pengen nonton anjir"
"4125",2019-08-20 10:44:21,"samwanwtb","Abimana main gundala
Liat kamu sama yg lain hatiku jd gundah gulana https://t.co/EiQbGnRY8Q"
"4126",2019-08-20 10:23:17,"samwanwtb","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4127",2019-08-20 10:27:47,"samwanwtb","@CenayangFilm @gotixindonesia Abimana main gundala
Liat kamu sama yg lain hatiku jd gundah gulana :v

hiks"
"4128",2019-08-20 10:44:20,"rizkylia323","@CenayangFilm @gotixindonesia gundala godam sri asih,
gelisah redam karnamu kasih"
"4129",2019-08-20 10:44:16,"kluwermuter","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4130",2019-08-20 10:30:47,"___bram","@CenayangFilm @gotixindonesia ketemu Gundala, lagi ngejar busway
Bismillah, menang giveaway~

semoga semoga ya, mbah <U+0001F64F>"
"4131",2019-08-20 10:44:16,"___bram","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4132",2019-08-20 10:44:16,"annisasakinaa","Ticket gundala presale ada promo 50%, tapi minimum harus 2 ticket

Pede ajaa beli, urusan temen belakangan"
"4133",2019-08-20 10:44:15,"shofaniazhari","Tadi abis presale Gundala. Trus yang jam jam balik kantor udah langsung penuh dong <U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB><U+0001F44F><U+0001F3FB>"
"4134",2019-08-20 10:44:14,"bisousirene","@CenayangFilm @gotixindonesia Jalan sm kamu nonton Gundala
Hala hala halaaa"
"4135",2019-08-20 10:40:57,"bisousirene","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4136",2019-08-20 10:44:07,"rakyan_m","Beli batik di Kebon Pala
Hai cantik, ayo nonton Gundala

@gotixindonesia https://t.co/l7YLyL0azj"
"4137",2019-08-20 10:44:04,"santanijo","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4138",2019-08-20 10:37:21,"mhs_fdl","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4139",2019-08-20 10:44:01,"mhs_fdl","@CenayangFilm @gotixindonesia Cenayang film ngoshiin shani
Karena shani sangatlah baik hati
Film Gundala yang paling ku nanti
Akhirnya tayang beberapa hari lagi"
"4140",2019-08-20 10:43:58,"Kikoenakkktau","@CenayangFilm @gotixindonesia Hari minggu nonton Gundala.
Jangan ditunggu jika sudah lelaaaaaa."
"4141",2019-08-20 07:59:41,"supergunbay","@adha__ @gundalaofficial @JanjiJiwaID gundala bayu kumoro"
"4142",2019-08-20 10:43:57,"supergunbay","@CenayangFilm @gotixindonesia Di Banda banyak pala
Muke lu kayak Gundala"
"4143",2019-08-20 10:43:27,"croissanteaa","@CenayangFilm @gotixindonesia Dua tiga gundala tayang. 
Aku merana karena kurang di sayang.

#yangpentingusaha"
"4144",2019-08-20 10:43:14,"m_irwanbudi_m","@CenayangFilm @gotixindonesia Nonton di bioskop filmnya Gundala
Semoga dapet GA dari @gotixindonesia"
"4145",2019-08-20 10:39:00,"m_irwanbudi_m","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4146",2019-08-20 10:43:10,"suprsuffr","@CenayangFilm @gotixindonesia malem minggu nonton gundala
gundalanya putra petir
eh neng kalo sendiri aja
telpon abang tar abang mampir"
"4147",2019-08-20 10:43:07,"raketmpin","Dengan adanya BCU diharapkan kalimat ini akan terdengar dari mulut para stan:

""Guys menurut aku Pengkor ga bener² mati""
""I ship Gundala &amp; Merpati they deserve an emdgame!""
""Ya allaaah funko Gundala mahal banget <U+0001F62D>""
""Bumilangit!Highschool AU, rt dulu y nder"""
"4148",2019-08-20 10:40:39,"AUDYSCO","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4149",2019-08-20 10:43:04,"AUDYSCO","@CenayangFilm @gotixindonesia Si Marshanda pernah jadi Lala
Ayo ah kita nonton Gundala!"
"4150",2019-08-20 10:42:58,"portgasdile","@CenayangFilm @gotixindonesia ke pasar beli lada
jangan lupa hari kamis nonton gundala"
"4151",2019-08-20 10:35:32,"portgasdile","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4152",2019-08-20 10:42:58,"anggareds","JKT 48 zara adalah idola
patriot pertama bernama gundala https://t.co/7T1t8ZZUL9"
"4153",2019-08-20 10:42:56,"Asupan_","@CenayangFilm @gotixindonesia Ada Gundala putra petir
Ada kepala tolong pakai mikir!!"
"4154",2019-08-20 10:38:19,"hamimumimo","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4155",2019-08-20 10:42:53,"hamimumimo","@CenayangFilm @gotixindonesia Ada gundala si putra petir
Ga nonton gundala aku ketar ketir

 #Gundala29Agustus"
"4156",2019-08-20 10:42:12,"bags_kurniawan","Setelah dikerjakan dua tahun, 9 hari lagi Gundala tayang, teman-teman! https://t.co/vxzj76M0Mv"
"4157",2019-08-20 10:42:07,"lukmanset","@CenayangFilm @gotixindonesia Nonton gundala di hari pertama
Ada yang mau nonton bersama?

#eaaa"
"4158",2019-08-20 10:40:02,"lukmanset","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4159",2019-08-20 10:42:03,"ggenduy","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4160",2019-08-20 10:41:47,"ggenduy","@CenayangFilm @gotixindonesia JALAN JALAN KE CIKINI KETEMU GUNDALA
JAM JAM SEGINI ENAKNYA KETEMU KAK LALA @N_LalaJKT48"
"4161",2019-08-20 10:42:01,"nonaaicaa","@CenayangFilm @gotixindonesia Gundala kostumnya merah.
Kalau gak dapat giveaway aku marah."
"4162",2019-08-20 10:41:56,"edwardvianst","Nonton Gundala yuk."
"4163",2019-08-20 10:41:38,"chikamelsa","@CenayangFilm @gotixindonesia Topeng monyet naik bianglala,
Ada yg mau nonton gundala ga?"
"4164",2019-08-20 10:41:42,"chikamelsa","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"4165",2019-08-20 10:41:40,"dyanaditya","@CenayangFilm @gotixindonesia Hari ini Selasa besok Rabu
Mau nonton Gundala, tapi sama kamu <U+0001F604>"
